title,price,city,model,mileage,fuel_type,transmission,registered,color,assembly,engine_capacity,post_date,price_category,mileage_category,post_day_of_week,vehicle_age
Honda N One Premium 2014,2650000,Lahore,2014,82000,Petrol,Automatic,Lahore,Blue,Imported,660,2024-05-04,Medium,Medium,Saturday,10
Nissan Note 2020,5400000,Lahore,2020,59000,Hybrid,Automatic,Un-Registered,Silver,Imported,1200,2024-05-04,High,Medium,Saturday,4
Suzuki Vitara GLX 1.6 2017,0,Karachi,2017,67000,Petrol,Automatic,Karachi,Grey,Imported,1600,2024-05-04,Low,Medium,Saturday,7
Toyota Yaris Cross 2021,7850000,Lahore,2021,41000,Hybrid,Automatic,Un-Registered,Beige,Imported,1500,2024-05-04,High,Low,Saturday,3
BMW X1 sDrive18i 2017,10700000,Islamabad,2017,37000,Petrol,Automatic,Islamabad,White,Imported,1500,2024-05-04,High,Low,Saturday,7
Honda City Aspire Prosmatec 1.5 i-VTEC 2016,3600000,Karachi,2016,45000,Petrol,Automatic,Karachi,Unlisted,Local,1500,2024-05-04,Medium,Low,Saturday,8
Toyota Corolla Altis Grande X CVT-i 1.8 Beige Interior 2022,6475000,Lahore,2022,59500,Petrol,Automatic,Lahore,Super White,Local,1800,2024-05-04,High,Medium,Saturday,2
KIA Picanto 1.0 AT 2022,3150000,Lahore,2022,24000,Petrol,Automatic,Punjab,Mercury Blue,Local,998,2024-05-04,Medium,Low,Saturday,2
Honda City Aspire Prosmatec 1.5 i-VTEC 2019,4250000,Karachi,2019,22000,Petrol,Automatic,Karachi,Unlisted,Local,1500,2024-05-04,High,Low,Saturday,5
Honda Civic 1.8 i-VTEC CVT 2019,5200000,Lahore,2019,58000,Petrol,Automatic,Sindh,Burgundy,Local,1800,2024-05-04,High,Medium,Saturday,5
Haval H6 1.5T 2024,9750000,Lahore,2024,1,Petrol,Automatic,Un-Registered,Diamond Black,Local,1500,2024-05-04,High,Low,Saturday,0
Honda Civic VTi Prosmatec 1.8 i-VTEC 2013,3695000,Lahore,2013,75504,Petrol,Automatic,Lahore,Indigo,Local,1800,2024-05-04,Medium,Medium,Saturday,11
Toyota Prius S LED Edition 1.8 2014,4650000,Peshawar,2014,170000,Hybrid,Automatic,Islamabad,White,Imported,1800,2024-05-04,High,High,Saturday,10
Toyota Raize 2021,5000000,Islamabad,2021,50000,Petrol,Automatic,Islamabad,Silver,Imported,1000,2024-05-04,High,Low,Saturday,3
Suzuki Alto VXL AGS 2022,3000000,Karachi,2022,14000,Petrol,Automatic,Karachi,Graphite Grey,Local,660,2024-05-04,Medium,Low,Saturday,2
Honda City i-DSI 2004,1750000,Bahawalpur,2004,210000,Petrol,Not Available,Punjab,Metallic Grey,Local,1300,2024-05-04,Low,High,Saturday,20
Toyota Passo Moda G 2018,3500000,Lahore,2018,48000,Petrol,Automatic,Punjab,Blue,Imported,1000,2024-05-04,Medium,Low,Saturday,6
Suzuki Alto VXR 2011,860000,Karachi,2011,35000,Petrol,Not Available,Sindh,Silky Silver,Local,1000,2024-05-04,Low,Low,Saturday,13
Daihatsu Mira ES 2013,2530000,Rawalpindi,2013,68000,Petrol,Automatic,Islamabad,Black,Imported,660,2024-05-04,Medium,Medium,Saturday,11
DFSK Glory 580 Pro 2021,5350000,Karachi,2021,16800,Petrol,Automatic,Sindh,Black,Imported,1500,2024-05-04,High,Low,Saturday,3
Honda Civic VTi Oriel 1.6 2006,1700000,Haripur,2006,200000,Petrol,Not Available,Lahore,Silver,Imported,1600,2024-05-04,Low,High,Saturday,18
Suzuki Cultus VXRi 2012,1300000,Lahore,2012,150000,Petrol,Not Available,Sindh,Green,Local,1000,2024-05-04,Low,High,Saturday,12
